"filename", "language", "GLSL", "comment", "blank", "total"
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Shaders\BasicFrag.frag", "GLSL", 12, 0, 5, 17
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Shaders\BasicVert.vert", "GLSL", 16, 0, 4, 20
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Shaders\NoTextureFrag.frag", "GLSL", 8, 0, 3, 11
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Shaders\NoTextureVert.vert", "GLSL", 13, 0, 4, 17
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Shaders\SMappingBasicFrag.frag", "GLSL", 47, 0, 11, 58
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Shaders\SMappingBasicVert.vert", "GLSL", 21, 0, 5, 26
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Shaders\SMappingDepthTextureFrag.frag", "GLSL", 4, 0, 2, 6
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Shaders\SMappingDepthTextureVert.vert", "GLSL", 9, 0, 2, 11
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Shaders\SMappingNoTextureFrag.frag", "GLSL", 43, 0, 11, 54
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Shaders\SMappingNoTextureVert.vert", "GLSL", 18, 0, 5, 23
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Shaders\SShadowingBasicFrag.frag", "GLSL", 12, 0, 5, 17
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Shaders\SShadowingBasicVert.vert", "GLSL", 16, 0, 4, 20
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Shaders\SShadowingNoTextureFrag.frag", "GLSL", 8, 0, 3, 11
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Shaders\SShadowingNoTextureGeom.geom", "GLSL", 54, 0, 8, 62
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Shaders\SShadowingNoTextureVert.vert", "GLSL", 10, 0, 3, 13
"c:\Users\gabri\OneDrive\Desktop\MySpecialEngine\MySpecialEngine\Shaders\TestCompute.comp", "GLSL", 78, 0, 8, 86
"Total", "-", 369, 0, 83, 452